Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"DumpyDemolisher",easy,3,Failed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","13:31:52","13:40:58",
Bot1,"ErtizTTV",easy,10,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","13:31:52","13:32:35",
Bot1,"ErtizTTV",easy,10,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","13:32:40","13:33:11",
Bot1,"ErtizTTV",easy,10,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","13:33:16","13:33:37",
Bot1,"ErtizTTV",easy,10,Completed,"Introduction","Item Encrypted message","1","13:33:42","13:37:15",
Bot1,"ErtizTTV",easy,10,Completed,"Introduction","Zone huntsman_001","1","13:37:20","13:38:21",
Bot1,"ErtizTTV",easy,10,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","13:38:26","13:40:43",
Bot1,"ErtizTTV",easy,10,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","13:40:48","13:41:18",
Bot5,"GhostFenixx",hard,12,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","13:31:52","13:51:59",
Bot5,"GhostFenixx",hard,12,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","13:52:04","13:52:29",
Bot5,"GhostFenixx",hard,12,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","13:52:34","13:52:53",
Bot5,"GhostFenixx",hard,12,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","13:52:58","13:54:04",
Bot5,"GhostFenixx",hard,12,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","13:54:09","13:54:36",
Bot5,"GhostFenixx",hard,12,Active,"Scav Base","Scav Base: Objective #2","1","13:54:42","N/A",
Bot6,"HashtagGoo",normal,15,Completed,"Boss Hunter","Spawn Point (90.3 -15.8 116.2)","1","13:31:52","13:33:59",
Bot6,"HashtagGoo",normal,15,Completed,"Boss Hunter","Spawn Point (125.9 0.3 4.9)","1","13:34:04","13:34:32",
Bot6,"HashtagGoo",normal,15,Completed,"Boss Hunter","Spawn Point (87.8 -15.9 114.7)","1","13:34:37","13:38:31",
Bot6,"HashtagGoo",normal,15,Completed,"Boss Hunter","Spawn Point (102.6 7.2 -152.2)","1","13:38:36","13:39:56",
Bot6,"HashtagGoo",normal,15,Completed,"Gratitude","Zone place_THX_15","2","13:40:01","13:42:08",
Bot6,"HashtagGoo",normal,15,Failed,"Supply Plans","Item Secure Folder 0052","1","13:42:13","13:45:45",
Bot7,"MexicanDjango",normal,1,Failed,"Scav Base","Scav Base: Objective #1","1","13:31:52","13:35:57",
Bot4,"MAMA_YTO4KA",hard,14,Pending,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","13:31:52","N/A",
Bot3,"MrWolf121YT",hard,8,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","13:31:52","13:32:38",
Bot3,"MrWolf121YT",hard,8,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","13:32:43","13:33:40",
Bot3,"MrWolf121YT",hard,8,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","13:33:45","13:34:27",
Bot3,"MrWolf121YT",hard,8,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","13:34:32","13:39:12",
Bot3,"MrWolf121YT",hard,8,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","13:39:17","13:46:00",
Bot3,"MrWolf121YT",hard,8,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","13:46:05","13:48:51",
Bot3,"MrWolf121YT",hard,8,Failed,"Scav Base","Scav Base: Objective #2","1","13:48:52","13:48:52",
Bot3,"MrWolf121YT",hard,8,Failed,"Scav Base","Scav Base: Objective #3","1","13:48:57","13:48:57",
Bot3,"MrWolf121YT",hard,8,Failed,"Scav Base","Scav Base: Objective #4","1","13:49:02","13:49:10",
Bot3,"MrWolf121YT",hard,8,Failed,"Scav Base","Scav Base: Objective #1","1","13:49:15","13:49:15",
Bot3,"MrWolf121YT",hard,8,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #1","1","13:49:20","13:49:22",
Bot3,"MrWolf121YT",hard,8,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #2","1","13:49:27","13:49:39",
Bot3,"MrWolf121YT",hard,8,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","13:49:45","13:49:45",
Bot25,"i_was_a_mistake",easy,11,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","13:38:54","13:44:15",
Bot26,"Albus",hard,14,Failed,"Sawmill Sniping","Sawmill Sniping: Objective #1","2","13:40:36","13:48:00",
Bot32,"crylixblooom",easy,22,Pending,"Steady Signal","Zone q14_8_2","1","13:45:37","N/A",
Bot31,"SilverSmurfer",easy,3,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","13:45:38","13:47:03",
Bot31,"SilverSmurfer",easy,3,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","13:47:08","13:47:53",
Bot31,"SilverSmurfer",easy,3,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","13:47:58","13:48:25",
Bot31,"SilverSmurfer",easy,3,Failed,"Spine","Spine: Objective #1","1","13:48:30","13:53:49",
Bot34,"WDNMD4040",hard,5,Failed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","1","13:49:16","13:51:10",
